,Bill of Materials,,,,,
,,,,,,
,"Costs are for estimate purposes only and may not include bulk orders, taxes, tariffs, or shipping.",,,,,
,You will always need more parts than the final quantity due to losses and failures.,,,,,
,"Links are provided as reference only, carefully review before making purchases.",,,,,
,,,,,,
,,,,,,
,Hardware,Qty,Est. Cost,SubTotal,Link 1,Link 2
,M2.5x12mm socket head bolt,24,0.05,1.2,mcmaster,
,M2.5x14mm socket head bolt,24,0.05,1.2,mcmaster,
,M2.5x40mm socket head bolt,4,0.261,1.044,mcmaster,
,,,,,,
,M3x8mm socket head bolt,32,0.05,1.6,mcmaster,
,M3x12mm socket head bolt,4,0.05,0.2,mcmaster,
,M3x14mm socket head bolt,8,0.05,0.4,mcmaster,
,M3x16mm socket head bolt,4,0.05,0.2,mcmaster,
,M3x18mm socket head bolt,24,0.05,1.2,mcmaster,
,M3x20mm socket head bolt,20,0.05,1,mcmaster,
,M3x25mm socket head bolt,4,0.05,0.2,mcmaster,
,,,,,,
,M5x16mm low-profile bolt,8,0.25,2,amazon,aliexpress
,,,,,,
,M2.5 nylon lock nut,4,0.1,0.4,,aliexpress
,,,,,,
,M3x4mm 4.5mm diameter brass insert,28,0.05,1.4,,aliexpress
,M5x10mm 7mm diameter Brass Insert,8,0.25,2,,aliexpress
,,,,,,
,M3x8mm Pin (non-threaded),36,0.12,4.32,,aliexpress
,,,,,,
,1/4-in x 1-in Zinc-Plated Hex-Head Lag Screws,4,0.23,0.92,,lowes
,,,,,,
,Frame,,,,,
,Polymaker PolyMax Tough PLA Red - 1.75mm – 750g,2,29.99,59.98,amazon,
,20mm silicon bead,4,1.38,5.52,aliexpress,
,Carbon fiber tube 12mm ID x 10mm ID x 254mm,4,5,20,amazon,
,,,,,,
,Electromechanical,,,,,
,MG4010E-i10v3 actuator (CAN version),12,134,1608,aliexpress,
,,,,,,
,,,,,,
,Electronics,,,,,
,,,,,,
,PCB: Power Carrier,1,15,15,,
,PCB: Auxiliary Board,1,15,15,,
,Raspberry Pi 4,1,55,55,digikey,
,Micro SD card,1,10,10,,
,Waveshare 2-Ch CAN Bus HAT,1,25.99,25.99,amazon,waveshare
,40 pin header,1,,,,
,40 pin header,1,,,,
,,,,,,
,Gamepad – PS4 Controller,1,30,30,,
,,,,,,
,"WS2812b strip – 5mm wide, black PCB, 5V",1,4.96,4.96,,aliexpress
,,,,,,
,,,,,,
,26AWG Silicon wire assorted colors,1,18,18,amazon,
,"Split loom tubing, 7mm OD",1,1.99,1.99,,aliexpress
,,,,,,
,,,,,,
,,,,,,
,STM32 Black Pill dev kit,1,3.07,3.07,amazon,aliexpress
,LCD display 128x160 1.8” (HiLetGo),1,2.45,2.45,amazon,aliexpress
,BNO055 IMU Adafruit Layout,1,29.95,29.95,adafruit,
,2.54mm header low-profile,1,,,,
,,,,,,
,SWITCH ROCKER SPST 20A 125V,1,1.27,1.27,digikey,
,DC DC CONVERTER 5V 12W,1,16.91,16.91,digikey,
,BUZZER MAGNETIC 3V 9MM TH,1,2.04,2.04,https://www.digikey.com/en/products/detail/mallory-sonalert-products-inc/PB-09N23P-03Q/3196328,
,SWITCH TACTILE SPST-NO 0.05A 24V,1,0.16,0.16,https://www.digikey.com/en/products/detail/te-connectivity-alcoswitch-switches/1825910-6/1632536,
,IC INVERTER 1CH 1-INP SOT23-5,1,0.83,0.83,https://www.digikey.com/en/products/detail/texas-instruments/SN74LVC1G14DBVT/1592006,
,TRANS NPN 40V 0.6A SOT23-3,2,0.1,0.2,https://www.digikey.com/en/products/detail/onsemi/MMBT2222ALT1G/919593,
,RES 10K OHM 1% 1/8W 0805,12,0.02,0.24,https://www.digikey.com/en/products/detail/vishay-dale/CRCW080510K0FKEAC/7928398,
,RES 1.2K OHM 1% 1/4W 1206,1,0.1,0.1,https://www.digikey.com/en/products/detail/yageo/RC1206FR-071K2L/728411,
,RES 500 OHM 1% 1/4W 1206,2,,,,
,LED GREEN CLEAR 1206 SMD,1,0.22,0.22,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/150120GS75000/4489936,
,TERM BLK 2POS SIDE ENT 3.5MM PCB,2,1.27,2.54,https://www.digikey.com/en/products/detail/molex/0393570002/946543,
,3-pos JST-ZH header,5,0.161,0.805,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B3B-ZR/926565,
,4-pos JST-ZH header,5,0.192,0.96,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B4B-ZR/926566,
,5-pos JST-ZH header,1,0.223,0.223,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B5B-ZR/926567,
,6-pos JST-ZH header,12,0.195,2.34,https://www.digikey.com/en/products/detail/jst-sales-america-inc/B6B-ZR/926568,
,3-pos JST-ZH housing,4,0.06,0.24,https://www.digikey.com/en/products/detail/jst-sales-america-inc/ZHR-3/608602,
,4-pos JST-ZH housing,1,0.075,0.075,digikey,
,5-pos JST-ZH housing,1,0.054,0.054,digikey,
,6-pos JST-ZH housing,8,0.131,1.048,digikey,
,CONN SOCKET 26-28AWG CRIMP TIN,250,0.01888,4.72,digikey,
,,,,,,
,Amass XT30 – male,1,1,0.5,aliexpress,amazon
,,,,,,
,,,,,,
,Battery Pack,,,,,
,18650 Batteries – Sanyo,8,5.99,47.92,18650batterystore,
,6s LiPo BMS,1,2.16,2.16,,aliexpress
,Nickel strip,1,9.99,9.99,amazon,
,Heat shrink wrapper,,,,,aliexpress
,Wire,,,,,
,Amass XT30 – female,1,1,0.5,aliexpress,amazon
,,,,,,
,Miscellaneous,,,,,
,"Zip ties, 2mm width",1,2,2,,
,USB-C cable,1,0,0,Junk drawer,
,,,,,,
,18AWG silicon wire – RED,1,2.05,2.05,,aliexpress
,18AWG silicon wire – BLACK,1,2.11,2.11,,aliexpress
,,,,,,
,Consumables,,,,,
,super glue,,,,,
,solder,,,,,
,rope/twine,,,,,
,,,,,,
,,,,,,
,,,Total,1063.82,,
,,,,,,
,,,,,,
,Tools,,,,,
,3D Printer,,,,,
,Soldering station,,,,,
,Heatset insert tool,,,,,
,Hex driver set,,,,,
,JST crimper,,,,,
,Wire stripper,,,,,
,Wire cutter,,,,,
,Angled needle nose pliers,,,,,
,Measuring tape (metric),,,,,
,Benchtop power supply,,,,,
,Laptop (for development, KiCad, OnShape, VSCode),,,,,
,Metric hex key set,,,,,
,Phillips screwdriver,,,,,
,Flathead screwdriver,,,,,
,Flush cutters,,,,,
,Desoldering braid,,,,,
,Flux pen,,,,,
,Multimeter,,,,,
